iter	Logloss
0	0.3910471654
1	0.2408767287
2	0.162343809
3	0.1248938207
4	0.1032590457
5	0.09148732965
6	0.08201984214
7	0.07605546212
8	0.07392737994
9	0.07125612216
10	0.07055542394
11	0.06920079571
12	0.06819191945
13	0.06749453448
14	0.06707267182
15	0.06680052971
16	0.06639846038
17	0.06620401463
18	0.06603767893
19	0.06582252256
20	0.06567406079
21	0.06551342025
22	0.06547438133
23	0.06536186104
24	0.0651337262
25	0.06496172512
26	0.06478175731
27	0.06467451196
28	0.06450705492
29	0.06449442867
30	0.06440079014
31	0.06439174371
32	0.06427552408
33	0.06415285364
34	0.06412734513
35	0.06405782193
36	0.06404560385
37	0.06401026345
38	0.06401005204
39	0.0639945262
40	0.06399438839
41	0.06399317498
42	0.06399026695
43	0.06391315424
44	0.06387366627
45	0.06386077103
46	0.0638052523
47	0.063760057
48	0.06373982528
49	0.06371474414
50	0.06368495741
51	0.06365028555
52	0.06354745532
53	0.06353223408
54	0.06347567169
55	0.06344420214
56	0.06344416582
57	0.06339716266
58	0.06335707937
59	0.06318454303
60	0.06303843651
61	0.06303412099
62	0.06298256447
63	0.06279449219
64	0.06270757913
65	0.06262670071
66	0.06254874649
67	0.06238551824
68	0.06234580988
69	0.06223659164
70	0.06211683508
71	0.06211202342
72	0.06194668227
73	0.06194614847
74	0.06186736993
75	0.06182750157
76	0.06179000577
77	0.06172734204
78	0.06166878868
79	0.06163886271
80	0.06158506064
81	0.06155533123
82	0.06155344161
83	0.06144425573
84	0.06142001045
85	0.06140348629
86	0.06131033682
87	0.06129649027
88	0.06127799839
89	0.06121332598
90	0.06117498774
91	0.06107909529
92	0.06101809665
93	0.06100183327
94	0.06099336179
95	0.06093264204
96	0.06091867624
97	0.06081269956
98	0.06080571903
99	0.06067008456
100	0.06060144739
101	0.06053674657
102	0.0605266714
103	0.06042708276
104	0.06032681964
105	0.06023729697
106	0.06020984271
107	0.06015860019
108	0.06013916848
109	0.06005622879
110	0.06003385938
111	0.05988052267
112	0.05981713447
113	0.05979446505
114	0.05977060731
115	0.059762292
116	0.05971354739
117	0.05968713867
118	0.05961907904
119	0.05957529538
120	0.05946395946
121	0.05943600936
122	0.05939350573
123	0.05937003785
124	0.05935489019
125	0.05915748458
126	0.05895581153
127	0.05876540939
128	0.05874932299
129	0.0587362128
130	0.0586965865
131	0.05851678914
132	0.05848050405
133	0.05832465188
134	0.05823976507
135	0.05814219609
136	0.05802956288
137	0.05797157847
138	0.05787988211
139	0.05780825304
140	0.0576811605
141	0.05763260226
142	0.0576234967
143	0.05758196208
144	0.05747953961
145	0.05747826119
146	0.05745020629
147	0.05739271619
148	0.0573177137
149	0.05727550406
150	0.05727059523
151	0.05724379781
152	0.05718915554
153	0.05709026356
154	0.05700480678
155	0.05693189673
156	0.05691029778
157	0.05688843648
158	0.05677285214
159	0.05672523368
160	0.05660686053
161	0.05659622903
162	0.05657728704
163	0.05648140475
164	0.05647191051
165	0.05646202524
166	0.05643830223
167	0.05642083481
168	0.05635983099
169	0.05635670583
170	0.05631661577
171	0.05626546857
172	0.0562023653
173	0.05615746684
174	0.05614733624
175	0.05611006536
176	0.05603301272
177	0.05597018092
178	0.05592468245
179	0.05590507016
180	0.05590250985
181	0.055846146
182	0.05579653973
183	0.05575236618
184	0.05573323741
185	0.05569837212
186	0.05564514319
187	0.05557688622
188	0.05554471135
189	0.05550344474
190	0.05544978415
191	0.05542706668
192	0.05538791333
193	0.05534502676
194	0.05533675198
195	0.05532317
196	0.05531644375
197	0.05531486169
198	0.05528949355
199	0.05526876796
200	0.0552399598
201	0.05521403571
202	0.05505948075
203	0.05498398163
204	0.05492289025
205	0.05485603075
206	0.05483105394
207	0.05478405053
208	0.05468264483
209	0.0546035838
210	0.05455151087
211	0.05443448547
212	0.05434379012
213	0.05432556131
214	0.0542125061
215	0.05416059576
216	0.05413695133
217	0.05406536178
218	0.05396810844
219	0.05392299572
220	0.05384614422
221	0.05381947943
222	0.05380637251
223	0.05372625238
224	0.05371964242
225	0.05362498621
226	0.05357111777
227	0.05355529683
228	0.05350703835
229	0.05347073055
230	0.05345298042
231	0.05343723908
232	0.05342017654
233	0.05339209697
234	0.05336413814
235	0.05323931303
236	0.05319931634
237	0.05317380337
238	0.05307144159
239	0.05300379056
240	0.05296011009
241	0.05293375454
242	0.05289895566
243	0.05280399305
244	0.05274177523
245	0.05272856528
246	0.05271865213
247	0.05267383492
248	0.05265875116
249	0.0526340538
